id,country,state,city,zip,latitude,longitude
138,US,NY,Mott Haven,10454,40.84,-73.87
139,US,NY,Bronx,10455,40.84,-73.87
140,US,NY,Hub,10455,40.84,-73.87
141,US,NY,Bronx,10456,40.84,-73.87
142,US,NY,Morrisania,10456,40.84,-73.87
143,US,NY,Bronx,10457,40.84,-73.87
144,US,NY,Bronx,10458,40.84,-73.87
145,US,NY,Bronx,10459,40.84,-73.87
146,US,NY,Boulevard,10459,40.84,-73.87
147,US,NY,Longwood,10459,40.84,-73.87
148,US,NY,Bronx,10460,40.84,-73.87
149,US,NY,Crotona Park,10460,40.84,-73.87
150,US,NY,West Farms,10460,40.84,-73.87
151,US,NY,Bronx,10461,40.84,-73.87
152,US,NY,Morris Park,10461,40.84,-73.87
153,US,NY,Pilgrim,10461,40.84,-73.87
154,US,NY,Westchester,10461,40.84,-73.87
155,US,NY,Bronx,10462,40.84,-73.87
156,US,NY,Bronx,10463,40.84,-73.87
157,US,NY,Riverdale,10463,40.84,-73.87
158,US,NY,Spuyten Duyvil,10463,40.84,-73.87
159,US,NY,Bronx,10464,40.84,-73.87
160,US,NY,Bronx,10465,40.84,-73.87
161,US,NY,Throggs Neck,10465,40.84,-73.87
162,US,NY,Bronx,10466,40.84,-73.87
163,US,NY,Wakefield,10466,40.84,-73.87
164,US,NY,Bronx,10467,40.84,-73.87
165,US,NY,Allerton,10467,40.84,-73.87
166,US,NY,Mosholu,10467,40.84,-73.87
167,US,NY,Van Cott,10467,40.84,-73.87
168,US,NY,Williamsbridge,10467,40.84,-73.87
169,US,NY,Bronx,10468,40.84,-73.87
170,US,NY,Jerome,10468,40.84,-73.87
171,US,NY,Bronx,10469,40.84,-73.87
172,US,NY,Baychester,10469,40.84,-73.87
173,US,NY,Esplanade,10469,40.84,-73.87
174,US,NY,Hillside,10469,40.84,-73.87
175,US,NY,Bronx,10470,40.84,-73.87
176,US,NY,Bronx,10471,40.84,-73.87
177,US,NY,Riverdale,10471,40.84,-73.87
178,US,NY,Bronx,10472,40.84,-73.87
179,US,NY,Bronx,10473,40.84,-73.87
180,US,NY,Bronx,10474,40.84,-73.87
181,US,NY,Boulevard,10474,40.84,-73.87
182,US,NY,Bronx,10475,40.84,-73.87
183,US,NY,Bronx,10499,40.84,-73.87
184,US,NY,Priority Mail Ctr,10499,40.84,-73.87
185,US,NY,New York,10001,40.71,-73.99
186,US,NY,Empire State,10001,40.71,-73.99
187,US,NY,G P O,10001,40.71,-73.99
188,US,NY,Greeley Square,10001,40.71,-73.99
189,US,NY,Macys Finance,10001,40.71,-73.99
190,US,NY,Manhattan,10001,40.71,-73.99
191,US,NY,New York,10002,40.71,-73.99
192,US,NY,Knickerbocker,10002,40.71,-73.99
193,US,NY,Manhattan,10002,40.71,-73.99
194,US,NY,New York City,10002,40.71,-73.99
195,US,NY,Ny,10002,40.71,-73.99
196,US,NY,Ny City,10002,40.71,-73.99
197,US,NY,Nyc,10002,40.71,-73.99
198,US,NY,New York,10003,40.71,-73.99
199,US,NY,Cooper,10003,40.71,-73.99
200,US,NY,Manhattan,10003,40.71,-73.99
201,US,NY,New York,10004,40.71,-73.99
202,US,NY,Bowling Green,10004,40.71,-73.99
203,US,NY,New York,10005,40.71,-73.99
204,US,NY,Wall Street,10005,40.71,-73.99
205,US,NY,Manhattan,10005,40.71,-73.99
206,US,NY,Nyc,10005,40.71,-73.99
207,US,NY,New York,10006,40.71,-73.99
208,US,NY,Trinity,10006,40.71,-73.99
209,US,NY,Manhattan,10006,40.71,-73.99
210,US,NY,Nyc,10006,40.71,-73.99
211,US,NY,New York,10007,40.71,-73.99
212,US,NY,Church Street,10007,40.71,-73.99
213,US,NY,Manhattan,10007,40.71,-73.99
214,US,NY,Nyc,10007,40.71,-73.99
215,US,NY,New York,10008,40.71,-73.99
216,US,NY,Manhattan,10008,40.71,-73.99
217,US,NY,Nyc,10008,40.71,-73.99
218,US,NY,New York,10009,40.71,-73.99
219,US,NY,Manhattan,10009,40.71,-73.99
220,US,NY,Nyc,10009,40.71,-73.99
221,US,NY,Peter Stuyvesant,10009,40.71,-73.99
222,US,NY,New York,10010,40.71,-73.99
223,US,NY,Madison Square Sta,10010,40.71,-73.99
224,US,NY,Manhattan,10010,40.71,-73.99
225,US,NY,Nyc,10010,40.71,-73.99
226,US,NY,New York,10011,40.71,-73.99
227,US,NY,New York,10012,40.71,-73.99
228,US,NY,Prince,10012,40.71,-73.99
229,US,NY,Manhattan,10012,40.71,-73.99
230,US,NY,Ny City,10012,40.71,-73.99
231,US,NY,Nyc,10012,40.71,-73.99
232,US,NY,New York,10013,40.71,-73.99
233,US,NY,Canal Street,10013,40.71,-73.99
234,US,NY,Chinatown,10013,40.71,-73.99
235,US,NY,Manhattan,10013,40.71,-73.99
236,US,NY,Nyc,10013,40.71,-73.99
237,US,NY,New York,10014,40.71,-73.99
238,US,NY,Manhattan,10014,40.71,-73.99
239,US,NY,Nyc,10014,40.71,-73.99
240,US,NY,New York,10016,40.71,-73.99
241,US,NY,Manhattan,10016,40.71,-73.99
242,US,NY,Nyc,10016,40.71,-73.99
243,US,NY,New York,10017,40.71,-73.99
244,US,NY,Grand Central,10017,40.71,-73.99
245,US,NY,Manhattan,10017,40.71,-73.99
246,US,NY,Nyc,10017,40.71,-73.99
247,US,NY,New York,10018,40.71,-73.99
248,US,NY,Manhattan,10018,40.71,-73.99
249,US,NY,Nyc,10018,40.71,-73.99
250,US,NY,New York,10019,40.71,-73.99
251,US,NY,Manhattan,10019,40.71,-73.99
252,US,NY,Nyc,10019,40.71,-73.99
253,US,NY,New York,10020,40.71,-73.99
254,US,NY,Manhattan,10020,40.71,-73.99
